Year,River,Fishery_Type,Coho_Harvest_Count
1989,Ford Arm Lake,AK_Gillnet (Drift & Set),0
1989,Ford Arm Lake,AK_Other,0
1989,Ford Arm Lake,AK_Seine,185
1989,Ford Arm Lake,AK_Sport,0
1989,Ford Arm Lake,AK_Troll,3799
1989,Ford Arm Lake,CAN_AllFisheries,0
1990,Ford Arm Lake,AK_Gillnet (Drift & Set),0
1990,Ford Arm Lake,AK_Other,0
1990,Ford Arm Lake,AK_Seine,100
1990,Ford Arm Lake,AK_Sport,0
1990,Ford Arm Lake,AK_Troll,2982
1990,Ford Arm Lake,CAN_AllFisheries,0
1991,Ford Arm Lake,AK_Gillnet (Drift & Set),10
1991,Ford Arm Lake,AK_Other,0
1991,Ford Arm Lake,AK_Seine,44
1991,Ford Arm Lake,AK_Sport,0
1991,Ford Arm Lake,AK_Troll,3203
1991,Ford Arm Lake,CAN_AllFisheries,0
1992,Ford Arm Lake,AK_Gillnet (Drift & Set),0
1992,Ford Arm Lake,AK_Other,0
1992,Ford Arm Lake,AK_Seine,233
1992,Ford Arm Lake,AK_Sport,0
1992,Ford Arm Lake,AK_Troll,5252
1992,Ford Arm Lake,CAN_AllFisheries,0
1993,Ford Arm Lake,AK_Gillnet (Drift & Set),0
1993,Ford Arm Lake,AK_Other,0
1993,Ford Arm Lake,AK_Seine,434
1993,Ford Arm Lake,AK_Sport,176
1993,Ford Arm Lake,AK_Troll,7749
1993,Ford Arm Lake,CAN_AllFisheries,0
1994,Ford Arm Lake,AK_Gillnet (Drift & Set),0
1994,Ford Arm Lake,AK_Other,0
1994,Ford Arm Lake,AK_Seine,1020
1994,Ford Arm Lake,AK_Sport,384
1994,Ford Arm Lake,AK_Troll,6856
1994,Ford Arm Lake,CAN_AllFisheries,0
1995,Ford Arm Lake,AK_Gillnet (Drift & Set),0
1995,Ford Arm Lake,AK_Other,0
1995,Ford Arm Lake,AK_Seine,759
1995,Ford Arm Lake,AK_Sport,0
1995,Ford Arm Lake,AK_Troll,3582
1995,Ford Arm Lake,CAN_AllFisheries,0
1996,Ford Arm Lake,AK_Gillnet (Drift & Set),0
1996,Ford Arm Lake,AK_Other,0
1996,Ford Arm Lake,AK_Seine,0
1996,Ford Arm Lake,AK_Sport,281
1996,Ford Arm Lake,AK_Troll,3083
1996,Ford Arm Lake,CAN_AllFisheries,0
1997,Ford Arm Lake,AK_Gillnet (Drift & Set),0
1997,Ford Arm Lake,AK_Other,0
1997,Ford Arm Lake,AK_Seine,0
1997,Ford Arm Lake,AK_Sport,351
1997,Ford Arm Lake,AK_Troll,4702
1997,Ford Arm Lake,CAN_AllFisheries,0
1998,Ford Arm Lake,AK_Gillnet (Drift & Set),20
1998,Ford Arm Lake,AK_Other,0
1998,Ford Arm Lake,AK_Seine,435
1998,Ford Arm Lake,AK_Sport,785
1998,Ford Arm Lake,AK_Troll,7835
1998,Ford Arm Lake,CAN_AllFisheries,0
1999,Ford Arm Lake,AK_Gillnet (Drift & Set),0
1999,Ford Arm Lake,AK_Other,0
1999,Ford Arm Lake,AK_Seine,66
1999,Ford Arm Lake,AK_Sport,436
1999,Ford Arm Lake,AK_Troll,5893
1999,Ford Arm Lake,CAN_AllFisheries,0
2000,Ford Arm Lake,AK_Gillnet (Drift & Set),14
2000,Ford Arm Lake,AK_Other,0
2000,Ford Arm Lake,AK_Seine,916
2000,Ford Arm Lake,AK_Sport,211
2000,Ford Arm Lake,AK_Troll,4604
2000,Ford Arm Lake,CAN_AllFisheries,0
2001,Ford Arm Lake,AK_Gillnet (Drift & Set),0
2001,Ford Arm Lake,AK_Other,0
2001,Ford Arm Lake,AK_Seine,115
2001,Ford Arm Lake,AK_Sport,480
2001,Ford Arm Lake,AK_Troll,5821
2001,Ford Arm Lake,CAN_AllFisheries,0
2002,Ford Arm Lake,AK_Gillnet (Drift & Set),0
2002,Ford Arm Lake,AK_Other,0
2002,Ford Arm Lake,AK_Seine,1260
2002,Ford Arm Lake,AK_Sport,998
2002,Ford Arm Lake,AK_Troll,5751
2002,Ford Arm Lake,CAN_AllFisheries,0
2003,Ford Arm Lake,AK_Gillnet (Drift & Set),0
2003,Ford Arm Lake,AK_Other,0
2003,Ford Arm Lake,AK_Seine,504
2003,Ford Arm Lake,AK_Sport,1770
2003,Ford Arm Lake,AK_Troll,4154
2003,Ford Arm Lake,CAN_AllFisheries,0
2004,Ford Arm Lake,AK_Gillnet (Drift & Set),0
2004,Ford Arm Lake,AK_Other,0
2004,Ford Arm Lake,AK_Seine,524
2004,Ford Arm Lake,AK_Sport,319
2004,Ford Arm Lake,AK_Troll,7722
2004,Ford Arm Lake,CAN_AllFisheries,0
2005,Ford Arm Lake,AK_Gillnet (Drift & Set),0
2005,Ford Arm Lake,AK_Other,0
2005,Ford Arm Lake,AK_Seine,60
2005,Ford Arm Lake,AK_Sport,672
2005,Ford Arm Lake,AK_Troll,5134
2005,Ford Arm Lake,CAN_AllFisheries,0
2006,Ford Arm Lake,AK_Gillnet (Drift & Set),0
2006,Ford Arm Lake,AK_Other,0
2006,Ford Arm Lake,AK_Seine,367
2006,Ford Arm Lake,AK_Sport,844
2006,Ford Arm Lake,AK_Troll,3866
2006,Ford Arm Lake,CAN_AllFisheries,0
2007,Ford Arm Lake,AK_Gillnet (Drift & Set),7
2007,Ford Arm Lake,AK_Other,0
2007,Ford Arm Lake,AK_Seine,217
2007,Ford Arm Lake,AK_Sport,202
2007,Ford Arm Lake,AK_Troll,5673
2007,Ford Arm Lake,CAN_AllFisheries,0
2008,Ford Arm Lake,AK_Gillnet (Drift & Set),0
2008,Ford Arm Lake,AK_Other,0
2008,Ford Arm Lake,AK_Seine,1047
2008,Ford Arm Lake,AK_Sport,277
2008,Ford Arm Lake,AK_Troll,4563
2008,Ford Arm Lake,CAN_AllFisheries,0
2009,Ford Arm Lake,AK_Gillnet (Drift & Set),0
2009,Ford Arm Lake,AK_Other,0
2009,Ford Arm Lake,AK_Seine,248
2009,Ford Arm Lake,AK_Sport,93
2009,Ford Arm Lake,AK_Troll,4604
2009,Ford Arm Lake,CAN_AllFisheries,0
2010,Ford Arm Lake,AK_Gillnet (Drift & Set),0
2010,Ford Arm Lake,AK_Other,0
2010,Ford Arm Lake,AK_Seine,570
2010,Ford Arm Lake,AK_Sport,132
2010,Ford Arm Lake,AK_Troll,2151
2010,Ford Arm Lake,CAN_AllFisheries,0
2011,Ford Arm Lake,AK_Gillnet (Drift & Set),0
2011,Ford Arm Lake,AK_Other,0
2011,Ford Arm Lake,AK_Seine,6238
2011,Ford Arm Lake,AK_Sport,79
2011,Ford Arm Lake,AK_Troll,2613
2011,Ford Arm Lake,CAN_AllFisheries,0
2012,Ford Arm Lake,AK_Gillnet (Drift & Set),0
2012,Ford Arm Lake,AK_Other,0
2012,Ford Arm Lake,AK_Seine,862
2012,Ford Arm Lake,AK_Sport,151
